Country code,Country name,Year,BX.KLT.DINV.WD.GD.ZS,EG.USE.COMM.GD.PP.KD,EG.USE.PCAP.KG.OE,EN.ATM.CO2E.KT,EN.ATM.CO2E.PC,EN.ATM.CO2E.PP.GD.KD,EN.URB.MCTY.TL.ZS,NY.GDP.MKTP.CD,SP.POP.GROW,SP.POP.TOTL,SP.URB.GROW,SP.URB.TOTL,GDP_per_capita,EN.ATM.CO2E.KT_lag1,EN.ATM.CO2E.KT_lag2,EN.ATM.CO2E.KT_lag3,EN.ATM.CO2E.KT_ma3,EN.ATM.CO2E.KT_ma5,EN.ATM.CO2E.KT_growth_rate,NY.GDP.MKTP.CD_growth_rate,SP.POP.TOTL_growth_rate
KEN,Kenya,2011,0.423564661676572,329.418736499337,474.459905771064,10392.278,0.270242232186892,187.582571191063,8.69690384852822,31408632915.3409,2.62721132854253,40512682.0,3.98777653412041,8993815.404,775.2790327567279,10392.278,10392.278,10392.278,10392.278,10280.0678,0.0,0.0,0.0
KHM,Cambodia,1994,2.46826433722134,372.415700121352,301.98626888704,539.049,0.0496267331757881,63.3523003177959,6.9968069619149,2791435218.70776,3.01714726456936,10862069.0,5.34961452121024,1507655.1772,256.98927328741513,476.71,476.71,462.042,497.48966666666666,481.1103999999999,0.13076923076923075,0.10171086563914988,0.03063124386874616
KHM,Cambodia,1995,4.3821850962122,372.415700121352,301.98626888704,1437.464,0.128698541788859,158.713698213952,7.4838173758216,3441205624.34357,2.78861326398949,11169233.0,5.06791421684512,1586031.086,308.0968607552166,539.049,476.71,476.71,817.741,678.395,1.6666666666666665,0.23277287657659085,0.028278590386417113
KHM,Cambodia,1996,8.3725541996451,364.507295567852,303.695883132508,1628.148,0.142086410356076,170.537488495488,8.02409803839091,3506695722.70366,2.56001107075894,11458858.0,6.29230328615651,1689035.6692,306.02488683459205,1437.464,539.049,476.71,1201.5536666666667,911.6162,0.13265306122448983,0.01903114940205941,0.02593060776868028
KHM,Cambodia,1997,5.91564184666079,360.980684158626,310.285395672237,1906.84,0.162544506365809,189.101478614664,8.61931533441586,3443413331.64013,2.34877957053054,11731187.0,5.94676926824891,1792525.3736,293.52642078249454,1628.148,1437.464,539.049,1657.4839999999997,1197.6421999999998,0.1711711711711712,-0.018046159709214638,0.023765806330787953
KHM,Cambodia,1998,7.78172663355965,360.37810362942,318.365113404429,2233.203,0.186315630869285,210.902736833155,9.08562798595176,3120425502.56966,2.14991300380669,11986128.0,5.62293086392005,1896205.4496,260.3364074344659,1906.84,1628.148,1437.464,1922.7303333333332,1548.9407999999999,0.1711538461538462,-0.09379873920527215,0.021731901469135284
KHM,Cambodia,1999,6.60286377628807,328.184849186624,318.129850641511,2196.533,0.179684114101502,185.363315541503,9.19211342155133,3517242477.23368,1.96851185470921,12224414.0,5.32494873821852,1999914.1304,287.7227879580714,2233.203,1906.84,1628.148,2112.1919999999996,1880.4376,-0.016420361247947435,0.12716758478522938,0.01988014811789096
KHM,Cambodia,2000,4.06410122577294,308.650191715643,319.60523016524,2255.205,0.181185365184673,174.974914119538,9.31555194771024,3654031716.27649,1.80404329858746,12446949.0,5.05147237403015,2103534.381,293.5684653545612,2196.533,2233.203,1906.84,2228.3136666666664,2043.9858,0.026711185308848195,0.038891046019208675,0.01820414459130726
KHM,Cambodia,2001,3.75388146169646,299.06107715208,329.103287232398,2643.907,0.208943656250622,189.870224110766,9.45463787463003,3979813387.83959,1.64728654345312,12653684.0,4.90717939169596,2209333.2264,314.5181583355164,2255.205,2196.533,2233.203,2365.215,2247.1376,0.17235772357723578,0.0891567717138142,0.016609291160428086
KHM,Cambodia,2002,3.38714777743343,289.146552002406,334.411191959158,2860.26,0.222671122383093,192.531197566618,9.61014142067766,4284028138.3485,1.50235153298713,12845222.0,4.6593217098607,2314709.0044,333.51141290890104,2643.907,2255.205,2196.533,2586.4573333333337,2437.8216,0.08183079056865461,0.07643945101507632,0.015136935614955993
KHM,Cambodia,2003,1.80283811143701,275.391222059383,340.845647680762,3127.951,0.240165074613962,194.044881734469,9.77806572103514,4658246906.65795,1.38350253788838,13024171.0,4.44385065843843,2419890.9718,357.661682010928,2860.26,2643.907,2255.205,2877.3726666666666,2616.7712,0.09358974358974348,0.0873520799174099,0.013931172228864641
KHM,Cambodia,2004,2.46197704162845,259.932048208842,350.410767471573,3498.318,0.26514539492727,196.68284189406,9.95396302899486,5337833255.94539,1.29522861263983,13193961.0,4.26469387655142,2525324.1354,404.5663963949408,3127.951,2860.26,2643.907,3162.1763333333333,2877.1282,0.11840562719812442,0.14588886396642442,0.013036530309683325
KHM,Cambodia,2005,6.05716501644469,236.121739229899,356.073565454326,3722.005,0.278643786663656,184.776017980102,10.1341605893405,6293046162.11398,1.23243398859984,13357574.0,4.11625896051329,2631442.078,471.12193891749956,3498.318,3127.951,2860.26,3449.4246666666663,3170.4882000000002,0.06394129979035634,0.17895143223229293,0.012400597515787704
KHM,Cambodia,2006,6.64257882502482,221.130966593573,365.058844837674,4074.037,0.301425863080802,182.58588554127,10.3171572055516,7274424518.56763,1.17820216011111,13515884.0,4.27690085674498,2746427.6288,538.2130032018349,3722.005,3498.318,3127.951,3764.786666666667,3456.5142,0.09458128078817718,0.1559464734839926,0.011851703011340309
KHM,Cambodia,2007,10.0390320936362,207.542295605248,373.363232695119,4440.737,0.324856141509015,180.578545090162,10.5019386815824,8639164917.03738,1.13276034235591,13669857.0,4.13831861556688,2862468.0558,631.9864880106193,4074.037,3722.005,3498.318,4078.926333333333,3772.6096000000007,0.09000900090009001,0.18760802246092645,0.011392003660285921
KHM,Cambodia,2008,7.87474573616354,197.91938234271,375.678415793679,4602.085,0.332938112274323,175.402426036291,10.6862840423294,10351829065.6013,1.11149271548172,13822644.0,4.02934677532228,2980162.0464,748.9036877171472,4440.737,4074.037,3722.005,4372.2863333333335,4067.4364,0.036333608587943766,0.19824417811336814,0.011176927454325192
KHM,Cambodia,2009,5.06954156779808,201.288709753636,370.748459193056,4602.085,0.332938112274323,175.402426036291,10.869513116524,10457584204.1112,1.11696085817831,13977903.0,3.95208444632077,3100298.8854,748.1511500052046,4602.085,4440.737,4074.037,4548.302333333333,4288.1898,0.0,0.010216082379230995,0.01123222156339998
KHM,Cambodia,2010,6.89911524863956,201.288709753636,370.748459193056,4602.085,0.332938112274323,175.402426036291,11.051561879454,11343440017.9693,1.14065185289504,14138255.0,3.89760725671246,3223522.14,802.3224943933533,4602.085,4602.085,4440.737,4602.085,4464.2058,0.0,0.08470941247691233,0.011471820916199027
KHM,Cambodia,2011,6.89911524863956,201.288709753636,370.748459193056,4602.085,0.332938112274323,175.402426036291,11.051561879454,11343440017.9693,1.14065185289504,14138255.0,3.89760725671246,3223522.14,802.3224943933533,4602.085,4602.085,4602.085,4602.085,4569.8153999999995,0.0,0.0,0.0
KOR,"Korea, Rep.",1994,0.19105684401493,202.898017497192,2971.5239241446,340352.605,7.65645974399928,522.789162315666,51.1421478865318,423434190055.386,0.897089928583474,44453000.0,2.04174342538925,34371059.6,9525.435629887432,317085.49,286568.716,268431.734,314668.937,291250.7416,0.07337805019081767,0.16926924123896292,0.009011258398402111
